Anno,Codice territoriale,Entita.territoriale,Denominazione territoriale,Sesso,Classi.di.eta,Decessi,Tasso di mortalità (per mille abitanti)
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,65-69,13631,11.3
2015,225,Ripartizione,Mezzogiorno,Maschi,70-74,10260,24.4
2015,225,Ripartizione,Mezzogiorno,Femmine,70-74,6654,13.7
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,70-74,16914,18.7
2015,225,Ripartizione,Mezzogiorno,Maschi,75-79,15112,41
2015,225,Ripartizione,Mezzogiorno,Femmine,75-79,11887,25.3
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,75-79,26999,32.2
2015,225,Ripartizione,Mezzogiorno,Maschi,80-84,19472,75.2
2015,225,Ripartizione,Mezzogiorno,Femmine,80-84,19897,52
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,80-84,39369,61.3
2015,225,Ripartizione,Mezzogiorno,Maschi,85-89,18797,136.6
2015,225,Ripartizione,Mezzogiorno,Femmine,85-89,25941,103.5
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,85-89,44738,115.2
2015,225,Ripartizione,Mezzogiorno,Maschi,90-94,10793,229.7
2015,225,Ripartizione,Mezzogiorno,Femmine,90-94,20923,190.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,90-94,31716,201.9
2015,225,Ripartizione,Mezzogiorno,Maschi,95 e più,3128,377.5
2015,225,Ripartizione,Mezzogiorno,Femmine,95 e più,8307,332.2
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,95 e più,11435,343.5
2015,225,Ripartizione,Mezzogiorno,Maschi,Totale,103326,10.2
2015,225,Ripartizione,Mezzogiorno,Femmine,Totale,108614,10.1
2015,225,Ripartizione,Mezzogiorno,Maschi e femmine,Totale,211940,10.2
2015,229,Ripartizione,Sud,Maschi,0-4,233,0.7
2015,229,Ripartizione,Sud,Femmine,0-4,191,0.6
2015,229,Ripartizione,Sud,Maschi e femmine,0-4,424,0.7
2015,229,Ripartizione,Sud,Maschi,9-May,31,0.1
2015,229,Ripartizione,Sud,Femmine,9-May,24,0.1
2015,229,Ripartizione,Sud,Maschi e femmine,9-May,55,0.1
2015,229,Ripartizione,Sud,Maschi,14-Oct,42,0.1
2015,229,Ripartizione,Sud,Femmine,14-Oct,22,0.1
2015,229,Ripartizione,Sud,Maschi e femmine,14-Oct,64,0.1
2015,229,Ripartizione,Sud,Maschi,15-19,137,0.3
2015,229,Ripartizione,Sud,Femmine,15-19,55,0.1
2015,229,Ripartizione,Sud,Maschi e femmine,15-19,192,0.3
2015,229,Ripartizione,Sud,Maschi,20-24,171,0.4
2015,229,Ripartizione,Sud,Femmine,20-24,54,0.1
2015,229,Ripartizione,Sud,Maschi e femmine,20-24,225,0.3
2015,229,Ripartizione,Sud,Maschi,25-29,183,0.4
2015,229,Ripartizione,Sud,Femmine,25-29,76,0.2
2015,229,Ripartizione,Sud,Maschi e femmine,25-29,259,0.3
