Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
090,Sassari             ,162610,169990,332600,1370,1294,2664,1599,1345,2944,-229,-51,-280,2506,2527,5033,223,281,504,675,469,1144,2485,2552,5037,136,121,257,60,71,131,723,533,1256,162516,169699,332215,588,773,1361,0,0,0,163104,170472,333576,133498,153,2.5
091,Nuoro               ,79761,82663,162424,758,640,1398,803,677,1480,-45,-37,-82,982,931,1913,142,160,302,8,3,11,1198,1271,2469,66,48,114,43,13,56,-175,-238,-413,79163,82082,161245,378,306,684,0,0,0,79541,82388,161929,62522,127,2.6
092,Cagliari            ,270359,282742,553101,2391,2231,4622,2122,1911,4033,269,320,589,7793,7696,15489,543,541,1084,317,130,447,7172,7208,14380,311,220,531,228,162,390,942,777,1719,270696,282487,553183,874,1352,2226,0,0,0,271570,283839,555409,214547,238,2.6
093,Pordenone           ,147131,153092,300223,1541,1463,3004,1362,1510,2872,179,-47,132,5771,5316,11087,1392,1793,3185,141,59,200,5127,4884,10011,248,256,504,676,378,1054,1253,1650,2903,146986,153370,300356,1577,1325,2902,0,0,0,148563,154695,303258,123269,131,2.4
094,Isernia             ,43801,45776,89577,331,311,642,551,498,1049,-220,-187,-407,788,724,1512,157,200,357,15,11,26,803,804,1607,118,97,215,158,42,200,-119,-8,-127,43279,45417,88696,183,164,347,0,0,0,43462,45581,89043,35007,43,2.5
095,Oristano            ,83003,85579,168582,645,529,1174,887,774,1661,-242,-245,-487,1385,1408,2793,134,161,295,31,42,73,1320,1366,2686,81,42,123,42,24,66,107,179,286,82551,84924,167475,317,589,906,0,0,0,82868,85513,168381,63256,119,2.6
096,Biella              ,89738,97881,187619,757,713,1470,1091,1283,2374,-334,-570,-904,3328,3543,6871,231,338,569,61,21,82,3400,3531,6931,100,101,201,120,47,167,0,223,223,88845,96375,185220,559,1159,1718,0,0,0,89404,97534,186938,83512,103,2.2
097,Lecco               ,159390,165649,325039,1631,1615,3246,1324,1494,2818,307,121,428,6100,5659,11759,682,822,1504,120,58,178,5511,5195,10706,154,146,300,236,156,392,1001,1042,2043,160163,165143,325306,535,1669,2204,0,0,0,160698,166812,327510,132712,161,2.5
098,Lodi                ,104145,107841,211986,1109,1046,2155,1042,1071,2113,67,-25,42,5075,4493,9568,699,864,1563,147,55,202,3862,3519,7381,114,77,191,296,107,403,1649,1709,3358,105288,107617,212905,573,1908,2481,0,0,0,105861,109525,215386,87187,80,2.4
099,Rimini              ,140991,148941,289932,1478,1318,2796,1286,1345,2631,192,-27,165,4665,4442,9107,816,1210,2026,333,120,453,3471,3376,6847,228,196,424,207,131,338,1908,2069,3977,141937,149663,291600,1154,1320,2474,0,0,0,143091,150983,294074,121750,174,2.4
100,Prato               ,118997,123500,242497,1397,1286,2683,1098,1020,2118,299,266,565,3086,2898,5984,1177,1175,2352,371,218,589,3107,2867,5974,103,92,195,497,288,785,927,1044,1971,119896,124098,243994,327,712,1039,0,0,0,120223,124810,245033,95851,126,2.5
101,Crotone             ,84282,88092,172374,899,892,1791,664,590,1254,235,302,537,1216,1158,2374,319,347,666,49,41,90,1788,1751,3539,155,147,302,7,22,29,-366,-374,-740,83976,87821,171797,175,199,374,0,0,0,84151,88020,172171,61575,74,2.8
102,Vibo Valentia       ,83179,85302,168481,798,796,1594,765,719,1484,33,77,110,1224,1166,2390,294,370,664,20,5,25,1745,1730,3475,304,217,521,26,20,46,-537,-426,-963,82444,84658,167102,231,295,526,0,0,0,82675,84953,167628,60570,88,2.8
103,Verb-Cus-Ossola     ,78067,83513,161580,679,642,1321,859,972,1831,-180,-330,-510,2427,2422,4849,315,388,703,79,34,113,2280,2362,4642,125,111,236,126,91,217,290,280,570,77846,82855,160701,331,608,939,0,0,0,78177,83463,161640,72028,119,2.2
104,Olbia-Tempio        ,72349,73101,145450,694,643,1337,647,504,1151,47,139,186,1976,1822,3798,264,341,605,27,30,57,1223,1234,2457,72,70,142,60,50,110,912,839,1751,73162,73884,147046,146,195,341,0,0,0,73308,74079,147387,61797,49,2.4
105,Ogliastra           ,28675,29373,58048,233,229,462,262,231,493,-29,-2,-31,480,452,932,59,55,114,13,1,14,496,531,1027,41,20,61,14,15,29,1,-58,-57,28503,29251,57754,144,62,206,0,0,0,28647,29313,57960,23202,42,2.5
106,Medio Campidano     ,51562,52493,104055,369,375,744,523,427,950,-154,-52,-206,626,601,1227,70,59,129,14,6,20,661,735,1396,49,36,85,12,5,17,-12,-110,-122,51316,52077,103393,80,254,334,0,0,0,51396,52331,103727,37910,47,2.7
107,Carbonia-Iglesias   ,64503,66914,131417,426,429,855,641,520,1161,-215,-91,-306,990,944,1934,74,65,139,28,8,36,1046,977,2023,63,44,107,10,6,16,-27,-10,-37,64043,66506,130549,218,307,525,0,0,0,64261,66813,131074,49528,55,2.6
