Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
089,Siracusa            ,195404,203544,398948,1997,1719,3716,1969,1838,3807,28,-119,-91,3095,2741,5836,1624,1408,3032,46,14,60,3456,3097,6553,210,136,346,83,39,122,1016,891,1907,194995,203688,398683,1453,628,2081,0,0,0,196448,204316,400764,155101,188,2.6
090,Sassari             ,163104,170472,333576,1388,1361,2749,1598,1389,2987,-210,-28,-238,2636,2585,5221,383,632,1015,363,274,637,2640,2564,5204,193,107,300,28,23,51,521,797,1318,162997,170595,333592,418,646,1064,0,0,0,163415,171241,334656,135721,156,2.5
091,Nuoro               ,79541,82388,161929,694,638,1332,843,684,1527,-149,-46,-195,995,909,1904,258,374,632,10,5,15,1238,1232,2470,46,37,83,35,13,48,-56,6,-50,78967,82059,161026,369,289,658,0,0,0,79336,82348,161684,63385,126,2.5
092,Cagliari            ,271570,283839,555409,2318,2248,4566,2170,2063,4233,148,185,333,7348,7326,14674,643,1082,1725,318,165,483,7094,7036,14130,245,170,415,245,155,400,725,1212,1937,271660,283882,555542,783,1354,2137,0,0,0,272443,285236,557679,219874,248,2.5
093,Pordenone           ,148563,154695,303258,1607,1535,3142,1300,1572,2872,307,-37,270,5642,5016,10658,1989,2075,4064,118,47,165,5088,4727,9815,280,249,529,268,139,407,2113,2023,4136,149453,155290,304743,1530,1391,2921,0,0,0,150983,156681,307664,125992,123,2.4
094,Isernia             ,43462,45581,89043,329,342,671,493,489,982,-164,-147,-311,830,679,1509,265,313,578,27,41,68,837,775,1612,59,31,90,39,19,58,187,208,395,43273,45481,88754,212,161,373,0,0,0,43485,45642,89127,35242,46,2.5
095,Oristano            ,82868,85513,168381,592,588,1180,850,830,1680,-258,-242,-500,1321,1391,2712,165,286,451,27,33,60,1401,1585,2986,63,58,121,39,17,56,10,50,60,82306,84736,167042,314,585,899,0,0,0,82620,85321,167941,63755,122,2.6
096,Biella              ,89404,97534,186938,767,679,1446,1034,1263,2297,-267,-584,-851,3329,3374,6703,548,757,1305,269,169,438,3283,3358,6641,140,107,247,95,59,154,628,776,1404,89207,96635,185842,558,1091,1649,0,0,0,89765,97726,187491,83837,97,2.2
097,Lecco               ,160698,166812,327510,1676,1646,3322,1313,1560,2873,363,86,449,6070,5448,11518,1476,1493,2969,128,81,209,5370,4929,10299,190,169,359,276,114,390,1838,1810,3648,162388,167061,329449,511,1647,2158,0,0,0,162899,168708,331607,135164,158,2.4
098,Lodi                ,105861,109525,215386,1137,989,2126,974,1037,2011,163,-48,115,4742,4235,8977,1560,1453,3013,104,46,150,3829,3450,7279,118,92,210,347,135,482,2112,2057,4169,107583,109855,217438,553,1679,2232,0,0,0,108136,111534,219670,89439,71,2.4
099,Rimini              ,143091,150983,294074,1511,1434,2945,1304,1420,2724,207,14,221,4408,4342,8750,1184,1652,2836,183,72,255,3466,3522,6988,224,231,455,245,154,399,1840,2159,3999,143835,151682,295517,1303,1474,2777,0,0,0,145138,153156,298294,125086,172,2.4
100,Prato               ,120223,124810,245033,1349,1256,2605,1129,1120,2249,220,136,356,2412,2338,4750,942,1233,2175,280,164,444,2912,2760,5672,103,86,189,693,462,1155,-74,427,353,120036,124688,244724,333,685,1018,0,0,0,120369,125373,245742,96809,127,2.5
101,Crotone             ,84151,88020,172171,890,807,1697,687,674,1361,203,133,336,1178,1225,2403,767,830,1597,16,13,29,1714,1737,3451,111,86,197,22,17,39,114,228,342,84302,88199,172501,166,182,348,0,0,0,84468,88381,172849,62697,67,2.8
102,Vibo Valentia       ,82675,84953,167628,817,773,1590,842,787,1629,-25,-14,-39,1377,1287,2664,777,853,1630,18,13,31,1908,1861,3769,151,118,269,57,62,119,56,112,168,82467,84762,167229,239,289,528,0,0,0,82706,85051,167757,61340,88,2.7
103,Verb-Cus-Ossola     ,78177,83463,161640,615,621,1236,855,941,1796,-240,-320,-560,2334,2455,4789,512,699,1211,63,37,100,2169,2362,4531,122,93,215,61,40,101,557,696,1253,78190,83235,161425,304,604,908,0,0,0,78494,83839,162333,73005,115,2.2
104,Olbia-Tempio        ,73308,74079,147387,787,676,1463,621,554,1175,166,122,288,1877,1790,3667,1305,1318,2623,63,41,104,1191,1281,2472,84,71,155,64,32,96,1906,1765,3671,75226,75775,151001,154,191,345,0,0,0,75380,75966,151346,64662,50,2.3
105,Ogliastra           ,28647,29313,57960,259,239,498,262,262,524,-3,-23,-26,493,459,952,80,83,163,7,4,11,508,489,997,24,15,39,3,2,5,45,40,85,28543,29275,57818,146,55,201,0,0,0,28689,29330,58019,23454,42,2.5
106,Medio Campidano     ,51396,52331,103727,377,357,734,500,448,948,-123,-91,-214,628,623,1251,97,95,192,10,4,14,697,778,1475,28,22,50,4,5,9,6,-83,-77,51202,51905,103107,77,252,329,0,0,0,51279,52157,103436,38291,46,2.7
107,Carbonia-Iglesias   ,64261,66813,131074,454,407,861,641,557,1198,-187,-150,-337,978,884,1862,104,141,245,19,5,24,931,966,1897,72,29,101,11,3,14,87,32,119,63949,66396,130345,212,299,511,0,0,0,64161,66695,130856,49943,60,2.6
