Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
011,La Spezia,105636,115959,221595,831,840,1671,1355,1551,2906,-524,-711,-1235,3356,3329,6685,1112,1223,2335,119,77,196,3003,3055,6058,92,86,178,156,113,269,1336,1375,2711,106170,116297,222467,278,326,604,0,0,0,106448,116623,223071,103149,94,2.2
012,Varese,420160,442939,863099,4377,4072,8449,3887,4292,8179,490,-220,270,15680,15147,30827,3247,3476,6723,695,457,1152,14213,13469,27682,907,758,1665,801,475,1276,3701,4378,8079,423021,444240,867261,1330,2857,4187,0,0,0,424351,447097,871448,363812,291,2.4
013,Como,282659,295516,578175,2944,2819,5763,2577,2817,5394,367,2,369,10599,9915,20514,2294,2620,4914,248,113,361,9086,8714,17800,590,509,1099,426,246,672,3039,3179,6218,285074,296087,581161,991,2610,3601,0,0,0,286065,298697,584762,242341,261,2.4
014,Sondrio,88818,92520,181338,880,793,1673,907,911,1818,-27,-118,-145,1999,2046,4045,491,620,1111,44,29,73,1911,2022,3933,172,99,271,83,51,134,368,523,891,88734,92327,181061,425,598,1023,0,0,0,89159,92925,182084,76152,99,2.4
015,Milano,1894581,2012145,3906726,20063,19205,39268,16855,18507,35362,3208,698,3906,59563,56395,115958,15775,17084,32859,2146,976,3122,61471,57825,119296,3640,2812,6452,4115,2363,6478,8258,11455,19713,1900698,2013765,3914463,5349,10533,15882,0,0,0,1906047,2024298,3930345,1777353,1065,2.2
016,Bergamo,525956,533637,1059593,6097,5807,11904,4288,4647,8935,1809,1160,2969,18586,16307,34893,6004,6075,12079,680,252,932,16613,14913,31526,761,628,1389,1380,579,1959,6516,6514,13030,532608,536107,1068715,1673,5204,6877,0,0,0,534281,541311,1075592,439744,387,2.4
017,Brescia,599564,612053,1211617,6984,6592,13576,4926,5296,10222,2058,1296,3354,19488,17870,37358,7734,7929,15663,1022,422,1444,17522,16403,33925,842,703,1545,2635,1172,3807,7245,7943,15188,607137,616205,1223342,1730,5087,6817,0,0,0,608867,621292,1230159,514964,484,2.4
018,Pavia,257255,273714,530969,2439,2393,4832,3085,3547,6632,-646,-1154,-1800,10949,10484,21433,2919,3268,6187,528,235,763,8483,8413,16896,282,234,516,584,318,902,5047,5022,10069,260607,274962,535569,1049,2620,3669,0,0,0,261656,277582,539238,242321,260,2.2
019,Cremona,174174,181773,355947,1796,1652,3448,1859,1974,3833,-63,-322,-385,5648,5285,10933,2075,2199,4274,218,126,344,4966,4657,9623,248,230,478,499,290,789,2228,2433,4661,175295,181831,357126,1044,2053,3097,0,0,0,176339,183884,360223,150852,171,2.4
020,Mantova,197285,206380,403665,2105,1947,4052,2089,2337,4426,16,-390,-374,6699,6368,13067,3067,3022,6089,283,147,430,5920,5685,11605,343,269,612,561,324,885,3225,3259,6484,199812,207444,407256,714,1805,2519,0,0,0,200526,209249,409775,166830,176,2.4
021,Bolzano-Bozen,244164,249746,493910,2836,2626,5462,1944,1919,3863,892,707,1599,5596,5711,11307,1781,2369,4150,228,90,318,5154,5307,10461,693,733,1426,377,163,540,1381,1967,3348,243876,249890,493766,2561,2530,5091,0,0,0,246437,252420,498857,200146,453,2.5
022,Trento,251279,262078,513357,2788,2635,5423,2246,2429,4675,542,206,748,6942,7078,14020,2560,3229,5789,312,125,437,6227,6490,12717,534,496,1030,500,304,804,2553,3142,5695,252588,262610,515198,1786,2816,4602,0,0,0,254374,265426,519800,219872,342,2.3
