"Codice","SESSO","ETA","occ","Regione"
3,2,35,45966.166667,"LOMBARDIA"
3,1,20,14691.833333,"LOMBARDIA"
3,1,51,62640.75,"LOMBARDIA"
3,1,24,28497.25,"LOMBARDIA"
3,1,29,42560.583333,"LOMBARDIA"
3,1,31,48205.25,"LOMBARDIA"
3,2,34,43256.333333,"LOMBARDIA"
3,2,36,48724.416667,"LOMBARDIA"
3,1,27,37079.75,"LOMBARDIA"
3,1,26,34723.166667,"LOMBARDIA"
3,1,28,40456.166667,"LOMBARDIA"
3,2,65,4811.5,"LOMBARDIA"
3,1,30,45255.666667,"LOMBARDIA"
3,1,22,22080.916667,"LOMBARDIA"
3,1,33,50836.166667,"LOMBARDIA"
4,1,52,6962.8333333,"TRENTINO-ALTO ADIGE"
4,2,37,5357.1666667,"TRENTINO-ALTO ADIGE"
4,1,58,4412.0833333,"TRENTINO-ALTO ADIGE"
4,2,38,5747.8333333,"TRENTINO-ALTO ADIGE"
4,1,60,3475.4166667,"TRENTINO-ALTO ADIGE"
4,2,31,4570.5,"TRENTINO-ALTO ADIGE"
4,2,49,6658.4166667,"TRENTINO-ALTO ADIGE"
4,2,43,6401.25,"TRENTINO-ALTO ADIGE"
4,1,65,1706,"TRENTINO-ALTO ADIGE"
4,1,64,1897.6666667,"TRENTINO-ALTO ADIGE"
4,1,53,6558.9166667,"TRENTINO-ALTO ADIGE"
4,2,25,3329.3333333,"TRENTINO-ALTO ADIGE"
4,2,19,1460.8333333,"TRENTINO-ALTO ADIGE"
4,1,59,3866.1666667,"TRENTINO-ALTO ADIGE"
4,2,44,6720.1666667,"TRENTINO-ALTO ADIGE"
4,2,15,122.25,"TRENTINO-ALTO ADIGE"
4,2,40,6310.25,"TRENTINO-ALTO ADIGE"
4,2,32,4534.4166667,"TRENTINO-ALTO ADIGE"
4,1,46,7665.1666667,"TRENTINO-ALTO ADIGE"
4,1,40,7145.0833333,"TRENTINO-ALTO ADIGE"
4,1,34,5528.0833333,"TRENTINO-ALTO ADIGE"
4,2,45,6664.9166667,"TRENTINO-ALTO ADIGE"
4,2,39,5992,"TRENTINO-ALTO ADIGE"
4,1,61,2940.4166667,"TRENTINO-ALTO ADIGE"
4,2,33,4580.8333333,"TRENTINO-ALTO ADIGE"
4,1,47,7931.5833333,"TRENTINO-ALTO ADIGE"
4,2,50,6254.4166667,"TRENTINO-ALTO ADIGE"
4,1,35,5982.5833333,"TRENTINO-ALTO ADIGE"
4,2,46,6800.1666667,"TRENTINO-ALTO ADIGE"
4,2,17,473.25,"TRENTINO-ALTO ADIGE"
4,1,54,6370.8333333,"TRENTINO-ALTO ADIGE"
4,2,26,3563.6666667,"TRENTINO-ALTO ADIGE"
4,2,20,1816.0833333,"TRENTINO-ALTO ADIGE"
4,2,51,5996.3333333,"TRENTINO-ALTO ADIGE"
4,1,36,6072.8333333,"TRENTINO-ALTO ADIGE"
4,2,16,263.66666667,"TRENTINO-ALTO ADIGE"
4,2,41,6176.4166667,"TRENTINO-ALTO ADIGE"
4,1,55,5830,"TRENTINO-ALTO ADIGE"
4,2,27,3710,"TRENTINO-ALTO ADIGE"
4,1,41,7166.4166667,"TRENTINO-ALTO ADIGE"
4,2,52,5996.4166667,"TRENTINO-ALTO ADIGE"
4,1,37,6132.3333333,"TRENTINO-ALTO ADIGE"
4,2,48,6825.3333333,"TRENTINO-ALTO ADIGE"
4,1,62,2353.4166667,"TRENTINO-ALTO ADIGE"
4,2,34,4754,"TRENTINO-ALTO ADIGE"
4,1,48,8207.0833333,"TRENTINO-ALTO ADIGE"
4,1,42,7539.1666667,"TRENTINO-ALTO ADIGE"
4,2,53,5493,"TRENTINO-ALTO ADIGE"
4,2,47,6799.0833333,"TRENTINO-ALTO ADIGE"
4,2,18,788,"TRENTINO-ALTO ADIGE"
4,1,63,2106.75,"TRENTINO-ALTO ADIGE"
4,2,35,5021.5,"TRENTINO-ALTO ADIGE"
4,2,21,2052.9166667,"TRENTINO-ALTO ADIGE"
4,1,43,7413.3333333,"TRENTINO-ALTO ADIGE"
4,2,54,5254,"TRENTINO-ALTO ADIGE"
4,1,39,7144.1666667,"TRENTINO-ALTO ADIGE"
4,2,42,6539.3333333,"TRENTINO-ALTO ADIGE"
4,1,56,5497.5833333,"TRENTINO-ALTO ADIGE"
4,2,28,3904,"TRENTINO-ALTO ADIGE"
4,2,22,2464.5833333,"TRENTINO-ALTO ADIGE"
4,1,44,8096.3333333,"TRENTINO-ALTO ADIGE"
4,1,38,6596.5833333,"TRENTINO-ALTO ADIGE"
4,2,57,4005.8333333,"TRENTINO-ALTO ADIGE"
4,2,59,2983.5833333,"TRENTINO-ALTO ADIGE"
4,1,57,5162.8333333,"TRENTINO-ALTO ADIGE"
4,1,49,7958.9166667,"TRENTINO-ALTO ADIGE"
4,2,23,2711.3333333,"TRENTINO-ALTO ADIGE"
4,1,45,7773.9166667,"TRENTINO-ALTO ADIGE"
4,2,56,4573.75,"TRENTINO-ALTO ADIGE"
4,2,58,3506.3333333,"TRENTINO-ALTO ADIGE"
4,2,60,2555.0833333,"TRENTINO-ALTO ADIGE"
4,2,36,5132.3333333,"TRENTINO-ALTO ADIGE"
4,1,50,7502.3333333,"TRENTINO-ALTO ADIGE"
4,2,24,3076.4166667,"TRENTINO-ALTO ADIGE"
4,2,55,4803.4166667,"TRENTINO-ALTO ADIGE"
4,1,19,2239.5,"TRENTINO-ALTO ADIGE"
4,1,21,3023.25,"TRENTINO-ALTO ADIGE"
4,2,61,2160.8333333,"TRENTINO-ALTO ADIGE"
4,2,29,3931,"TRENTINO-ALTO ADIGE"
4,1,51,6941.6666667,"TRENTINO-ALTO ADIGE"
4,1,16,700.41666667,"TRENTINO-ALTO ADIGE"
4,1,18,1580.1666667,"TRENTINO-ALTO ADIGE"
4,1,20,2606.0833333,"TRENTINO-ALTO ADIGE"
4,1,22,3310.6666667,"TRENTINO-ALTO ADIGE"
4,2,62,1328,"TRENTINO-ALTO ADIGE"
4,2,30,4289,"TRENTINO-ALTO ADIGE"
4,1,15,422.25,"TRENTINO-ALTO ADIGE"
4,1,17,1041.0833333,"TRENTINO-ALTO ADIGE"
4,1,27,4432.0833333,"TRENTINO-ALTO ADIGE"
4,1,29,4893.6666667,"TRENTINO-ALTO ADIGE"
4,1,23,3493.5833333,"TRENTINO-ALTO ADIGE"
4,2,63,1156,"TRENTINO-ALTO ADIGE"
4,2,65,856.41666667,"TRENTINO-ALTO ADIGE"
4,1,32,5533.9166667,"TRENTINO-ALTO ADIGE"
4,1,26,4178.9166667,"TRENTINO-ALTO ADIGE"
4,1,28,4675.25,"TRENTINO-ALTO ADIGE"
4,1,30,5236.9166667,"TRENTINO-ALTO ADIGE"
4,1,24,3673.5,"TRENTINO-ALTO ADIGE"
4,2,64,963.66666667,"TRENTINO-ALTO ADIGE"
4,1,31,5451.25,"TRENTINO-ALTO ADIGE"
4,1,33,5501.3333333,"TRENTINO-ALTO ADIGE"
4,1,25,4025.25,"TRENTINO-ALTO ADIGE"
5,1,15,72.833333333,"VENETO"
