Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,maschi,65 anni e più,Friuli-Venezia Giulia,2016,in altre regioni,191
totali cancellati,maschi,18-39 anni,Friuli-Venezia Giulia,2015,in altre regioni,1693
totali cancellati,maschi,18-39 anni,Friuli-Venezia Giulia,2016,in altre regioni,1703
totali cancellati,maschi,40-64 anni,Friuli-Venezia Giulia,2015,in altre regioni,816
totali cancellati,maschi,40-64 anni,Friuli-Venezia Giulia,2016,in altre regioni,866
totali cancellati,femmine,fino a 17 anni,Friuli-Venezia Giulia,2015,in altre regioni,483
totali cancellati,femmine,fino a 17 anni,Friuli-Venezia Giulia,2016,in altre regioni,480
totali cancellati,femmine,65 anni e più,Friuli-Venezia Giulia,2015,in altre regioni,273
totali cancellati,femmine,65 anni e più,Friuli-Venezia Giulia,2016,in altre regioni,303
totali cancellati,femmine,18-39 anni,Friuli-Venezia Giulia,2015,in altre regioni,1600
totali cancellati,femmine,18-39 anni,Friuli-Venezia Giulia,2016,in altre regioni,1435
totali cancellati,femmine,40-64 anni,Friuli-Venezia Giulia,2015,in altre regioni,667
totali cancellati,femmine,40-64 anni,Friuli-Venezia Giulia,2016,in altre regioni,734
totali cancellati,maschi,fino a 17 anni,Friuli-Venezia Giulia,2015,estero,372
totali cancellati,maschi,fino a 17 anni,Friuli-Venezia Giulia,2016,estero,394
totali cancellati,maschi,65 anni e più,Friuli-Venezia Giulia,2015,estero,118
totali cancellati,maschi,65 anni e più,Friuli-Venezia Giulia,2016,estero,156
totali cancellati,maschi,18-39 anni,Friuli-Venezia Giulia,2015,estero,996
totali cancellati,maschi,18-39 anni,Friuli-Venezia Giulia,2016,estero,1075
totali cancellati,maschi,40-64 anni,Friuli-Venezia Giulia,2015,estero,717
totali cancellati,maschi,40-64 anni,Friuli-Venezia Giulia,2016,estero,668
totali cancellati,femmine,fino a 17 anni,Friuli-Venezia Giulia,2015,estero,324
totali cancellati,femmine,fino a 17 anni,Friuli-Venezia Giulia,2016,estero,376
totali cancellati,femmine,65 anni e più,Friuli-Venezia Giulia,2015,estero,133
totali cancellati,femmine,65 anni e più,Friuli-Venezia Giulia,2016,estero,166
totali cancellati,femmine,18-39 anni,Friuli-Venezia Giulia,2015,estero,872
totali cancellati,femmine,18-39 anni,Friuli-Venezia Giulia,2016,estero,971
totali cancellati,femmine,40-64 anni,Friuli-Venezia Giulia,2015,estero,600
totali cancellati,femmine,40-64 anni,Friuli-Venezia Giulia,2016,estero,585
totali cancellati,maschi,fino a 17 anni,Emilia-Romagna,2015,in altre regioni,2073
totali cancellati,maschi,fino a 17 anni,Emilia-Romagna,2016,in altre regioni,2134
totali cancellati,maschi,65 anni e più,Emilia-Romagna,2015,in altre regioni,793
totali cancellati,maschi,65 anni e più,Emilia-Romagna,2016,in altre regioni,814
totali cancellati,maschi,18-39 anni,Emilia-Romagna,2015,in altre regioni,5883
totali cancellati,maschi,18-39 anni,Emilia-Romagna,2016,in altre regioni,5839
totali cancellati,maschi,40-64 anni,Emilia-Romagna,2015,in altre regioni,3696
totali cancellati,maschi,40-64 anni,Emilia-Romagna,2016,in altre regioni,3958
totali cancellati,femmine,fino a 17 anni,Emilia-Romagna,2015,in altre regioni,2012
totali cancellati,femmine,fino a 17 anni,Emilia-Romagna,2016,in altre regioni,2013
totali cancellati,femmine,65 anni e più,Emilia-Romagna,2015,in altre regioni,1088
totali cancellati,femmine,65 anni e più,Emilia-Romagna,2016,in altre regioni,1172
