"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","Age reached during the year","95 years","Number","Females","8",""
"2006","Italy","Age reached during the year","96 years","Number","Total","7",""
"2006","Italy","Age reached during the year","96 years","Number","Males","1",""
"2006","Italy","Age reached during the year","96 years","Number","Females","6",""
"2006","Italy","Age reached during the year","97 years","Number","Total","2",""
"2006","Italy","Age reached during the year","97 years","Number","Males","0",""
"2006","Italy","Age reached during the year","97 years","Number","Females","2",""
"2006","Italy","Age reached during the year","98 years","Number","Total","3",""
"2006","Italy","Age reached during the year","98 years","Number","Males","1",""
"2006","Italy","Age reached during the year","98 years","Number","Females","2",""
"2006","Italy","Age reached during the year","99 years","Number","Total","5",""
"2006","Italy","Age reached during the year","99 years","Number","Males","3",""
"2006","Italy","Age reached during the year","99 years","Number","Females","2",""
"2006","Italy","Age reached during the year","100 years or over","Number","Total","1",""
"2006","Italy","Age reached during the year","100 years or over","Number","Males","1",""
"2006","Italy","Age reached during the year","100 years or over","Number","Females","0",""
"2006","Italy","Age reached during the year","Unknown","Number","Total","0",""
"2006","Italy","Age reached during the year","Unknown","Number","Males","0",""
"2006","Italy","Age reached during the year","Unknown","Number","Females","0",""
"2007","Italy","Age reached during the year","Total","Number","Total","527,123",""
"2007","Italy","Age reached during the year","Total","Number","Males","243,358",""
"2007","Italy","Age reached during the year","Total","Number","Females","283,765",""
"2007","Italy","Age reached during the year","Less than 1 year","Number","Total","1,469",""
"2007","Italy","Age reached during the year","Less than 1 year","Number","Males","765",""
"2007","Italy","Age reached during the year","Less than 1 year","Number","Females","704",""
"2007","Italy","Age reached during the year","1 year","Number","Total","4,290",""
"2007","Italy","Age reached during the year","1 year","Number","Males","2,293",""
"2007","Italy","Age reached during the year","1 year","Number","Females","1,997",""
"2007","Italy","Age reached during the year","2 years","Number","Total","4,570",""
"2007","Italy","Age reached during the year","2 years","Number","Males","2,415",""
"2007","Italy","Age reached during the year","2 years","Number","Females","2,155",""
"2007","Italy","Age reached during the year","3 years","Number","Total","4,496",""
"2007","Italy","Age reached during the year","3 years","Number","Males","2,396",""
"2007","Italy","Age reached during the year","3 years","Number","Females","2,100",""
"2007","Italy","Age reached during the year","4 years","Number","Total","4,457",""
"2007","Italy","Age reached during the year","4 years","Number","Males","2,336",""
"2007","Italy","Age reached during the year","4 years","Number","Females","2,121",""
"2007","Italy","Age reached during the year","5 years","Number","Total","4,786",""
"2007","Italy","Age reached during the year","5 years","Number","Males","2,488",""
"2007","Italy","Age reached during the year","5 years","Number","Females","2,298",""
"2007","Italy","Age reached during the year","6 years","Number","Total","4,956",""
"2007","Italy","Age reached during the year","6 years","Number","Males","2,592",""
"2007","Italy","Age reached during the year","6 years","Number","Females","2,364",""
"2007","Italy","Age reached during the year","7 years","Number","Total","5,339",""
"2007","Italy","Age reached during the year","7 years","Number","Males","2,749",""
"2007","Italy","Age reached during the year","7 years","Number","Females","2,590",""
"2007","Italy","Age reached during the year","8 years","Number","Total","5,159",""
"2007","Italy","Age reached during the year","8 years","Number","Males","2,616",""
"2007","Italy","Age reached during the year","8 years","Number","Females","2,543",""
"2007","Italy","Age reached during the year","9 years","Number","Total","4,934",""
"2007","Italy","Age reached during the year","9 years","Number","Males","2,510",""
"2007","Italy","Age reached during the year","9 years","Number","Females","2,424",""
"2007","Italy","Age reached during the year","10 years","Number","Total","4,889",""
"2007","Italy","Age reached during the year","10 years","Number","Males","2,530",""
"2007","Italy","Age reached during the year","10 years","Number","Females","2,359",""
"2007","Italy","Age reached during the year","11 years","Number","Total","4,713",""
"2007","Italy","Age reached during the year","11 years","Number","Males","2,464",""
"2007","Italy","Age reached during the year","11 years","Number","Females","2,249",""
"2007","Italy","Age reached during the year","12 years","Number","Total","4,672",""
"2007","Italy","Age reached during the year","12 years","Number","Males","2,414",""
"2007","Italy","Age reached during the year","12 years","Number","Females","2,258",""
"2007","Italy","Age reached during the year","13 years","Number","Total","4,825",""
"2007","Italy","Age reached during the year","13 years","Number","Males","2,501",""
"2007","Italy","Age reached during the year","13 years","Number","Females","2,324",""
"2007","Italy","Age reached during the year","14 years","Number","Total","4,711",""
"2007","Italy","Age reached during the year","14 years","Number","Males","2,463",""
"2007","Italy","Age reached during the year","14 years","Number","Females","2,248",""
"2007","Italy","Age reached during the year","15 years","Number","Total","4,689",""
"2007","Italy","Age reached during the year","15 years","Number","Males","2,480",""
"2007","Italy","Age reached during the year","15 years","Number","Females","2,209",""
"2007","Italy","Age reached during the year","16 years","Number","Total","4,835",""
"2007","Italy","Age reached during the year","16 years","Number","Males","2,626",""
"2007","Italy","Age reached during the year","16 years","Number","Females","2,209",""
"2007","Italy","Age reached during the year","17 years","Number","Total","5,522",""
"2007","Italy","Age reached during the year","17 years","Number","Males","3,148",""
"2007","Italy","Age reached during the year","17 years","Number","Females","2,374",""
"2007","Italy","Age reached during the year","18 years","Number","Total","7,611",""
"2007","Italy","Age reached during the year","18 years","Number","Males","4,486",""
"2007","Italy","Age reached during the year","18 years","Number","Females","3,125",""
"2007","Italy","Age reached during the year","19 years","Number","Total","9,944",""
"2007","Italy","Age reached during the year","19 years","Number","Males","5,288",""
"2007","Italy","Age reached during the year","19 years","Number","Females","4,656",""
"2007","Italy","Age reached during the year","20 years","Number","Total","12,089",""
"2007","Italy","Age reached during the year","20 years","Number","Males","5,847",""
"2007","Italy","Age reached during the year","20 years","Number","Females","6,242",""
